"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
500,-,32,Geforce rtx 4070 ti 12gb,B660,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmhgg.html,1 699 €,Corei5-13400F
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbcip.html,399 €,Core i7-8700
2048,-,32,Rx6800xt,B450 aorus elite v2,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edebd.html,1 049 €,Ryzen 7 5800x
1024,-,16,Gtx3070 msi gaming x trio,B450 aorus elite v2,4.70,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgfxi.html,799 €,Ryzen 7 5800x
480,-,16,Rx6700xt,B450 aorus elite v2,4.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddhnl.html,529 €,Ryzen 5 3500
,,,,,,,"Rīgas rajons, Salaspils",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bndood.html,10 €,
,,,,,,,"Ogre un raj., Ogre",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bncogb.html,10 €,
120,-,8,Intel Hd graphics,Dell oem,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pxikj.html,175 €,I5-7500
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxbjm.html,,
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmonex.html,,
1000,-,16,Radeon R7 6x Core Ddr4,A320 am4 fsb9200mts,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmbnh.html,339 €,Amd a12-9800
500,-,16,Geforce rtx 4060 8gb,Z790,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dehmn.html,1 399 €,I7-13700Kf
1000,-,32,Asus rog strix rtx4080 16gb gaming oc,Asus rog strix z490-e gaming,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/feogl.html,3 000 €,10900k
512,-,32,Amd radeon pro 5500 xt 8gb,Apple,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/acind.html,1 300 €,8-Core i7
256,DVD-RW,8,Radeon R5,Hp,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hxhjk.html,75 €,A8 pro-7600
240,DVD,8,Intel hd,Intel,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbcee.html,150 €,Core i7
1256,-,16,Uhd graphics 630,Msi b560m-a pro-e,4.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hpxxb.html,450 €,I7 10700
1600,-,4,Intel hd,Mhz ddr3,2.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkdje.html,195 €,Intel Core i7
250,DVD-RW,4,Intel hd graphic,Dh61Ww,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfmpk.html,20 €,I3 3240
320,DVD-RW,4,Radeon Rx550 4Gb,Gigabyte ga-eg31mf-s2,2.53,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpmfl.html,100 €,Intelcore2Duo
2000,-,16,Geforce rtx3060 12gb gddr6,H310 fsb4800mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpijh.html,769 €,Core i9-9900
500,-,16,Geforce Rtx 4070 12Gb,Socket am5 / ddr5 / pci-e 5.0,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eleei.html,1 299 €,Ryzen 5 7600X
500,-,8,Radeon Hd8670D on 4096mb,A55 fsb4000mts,4000,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dkbme.html,99 €,A10-6790K
1000,-,16,Geforce rtx3050 8gb gddr6 12000mhz,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnhln.html,899 €,Core i9-10900
