"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
1000,-,16,Geforce rtx3050 8gb ggdr6,New h610 fsb8000mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dddkx.html,789 €,Core i5-13400
1000,-,16,Geforce rtx3060 12gb gddr6,Intel H610 8000Mts,5800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kefho.html,1 319 €,Core i9-13900
1000,-,16,Radeon Rx Vega 11 Core Ddr4,B450 am4 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kkhdf.html,499 €,Ryzen7 4700G
500,-,16,Gtx 1660 ti,Z,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dojbh.html,500 €,I3
500,-,6,Gtx260 448Bit,Gigabyte H61,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ebogh.html,100 €,I3 2100
320,-,6,Nvidia Gt710 2Gb,Asus Lga 1155,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edfex.html,100 €,I3 2100
1000,-,32,Geforce Rtx4070 Ti 12Gb Gddr6X,H410 fsb8000mts usb/sata3,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxexx.html,1 549 €,Core i9-11900
1256,-,16,Gtx1060 3gb,H110m-k,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcihc.html,199 €,I5-7400
256,-,8,Intel uhd graphics 620,Intel uhd graphics 620,1.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/enick.html,349 €,Intel Core i3
1000,-,32,Intel uhd750 4gb ddr4,Intel H610 Fsb8000Mts,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lnfhg.html,769 €,Core i9-12900
240,-,8,Intel hd,Dell,3.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/flifi.html,124 €,I3-4130
256,-,8,Intel Hd Graphics 530,Hp,8,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eoxpc.html,239 €,I5-6600
1000,-,32,Nvideo geforce rtx 3070 ti,Intel,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/exbji.html,1 859 €,Intel Core i9
1000,-,16,Intel hd530 4gb ddr3,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjklk.html,359 €,Core i7 7700
1024,-,32,Rtx3070 ichill,B650m-a ii,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gidgd.html,1 049 €,Ryzen 5 7600x
768,Blue-ray-RW,16,Rtx3060ti,H610m-e pro msi,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kecem.html,529 €,I3-12100f
4000,-,16,Intel hd 1536 mb,Mac mini,2.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/knelb.html,130 €,Intel Core i7
1000,-,16,Radeon 7 gpu core,B450/socket am4/ddr4/usb 3.0,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjdpi.html,499 €,Ryzen 5 5600G
1000,-,16,Geforce Rtx4060 Ti 8Gb Gddr6,H410 fsb4800mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmlik.html,989 €,Core i7 10700
1024,-,8,Radeon Pro 555X with 2Gb of Vram,Two Thunderbolt 3 (Usb-C) port,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmhoh.html,600 €,I3
1000,-,16,Nvidia geforce rtx 3070 16gb,Predator po3-620,2.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/enfen.html,1 100 €,Intel Core I5
500,-,16,Msi nvidia 1660 super (6gb),H510m h - gigabyte,4.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnoxn.html,500 €,I5-10400f
