Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Lubānas 56a [Karte],57 500 € (898.44 €/m²),6/9/lifts,Pļavnieki,602.,,3,64 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/hfdpg.html,Lodžija
Zilupes 31 [Karte],39 000 € (795.92 €/m²),6/9/lifts,Krasta r-ns,467.,,2,49 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/dexkk.html,"Lodžija, Parkošanas vieta"
Kurzemes pr. 46 [Karte],61 000 € (1 220 €/m²),2/5,Imanta,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/adlnk.html,Lodžija
Salacas 17 [Karte],43 000 € (877.55 €/m²),6/9,Krasta r-ns,467.,,2,49 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/lfixh.html,"Lodžija, Parkošanas vieta"
Vidzemes al. 7 [Karte],68 000 € (1 416.67 €/m²),5/12/lifts,Jugla,Čehu pr.,,2,48 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/clfoo.html,Lodžija
Kaņiera 12 [Karte],44 000 € (1 157.89 €/m²),10/12/lifts,Ķengarags,Specpr.,,1,38 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dhxil.html,"Balkons, Lodžija"
Vesetas 28 [Karte],64 000 € (1 488.37 €/m²),6/6,centrs,Specpr.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cidcc.html,
Asara 9 [Karte],201 000 € (1 844.04 €/m²),4/7,centrs,Jaun.,,3,109 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcjfxo.html,"Balkons, Parkošanas vieta"
Vīksnes 29 [Karte],58 000 € (1 160 €/m²),8/9/lifts,Imanta,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/efple.html,Lodžija
Brīvības 152 [Karte],73 500 € (1 470 €/m²),6/8/lifts,centrs,Specpr.,,2,50 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agfdh.html,"Lodžija, Parkošanas vieta"
Brīvības gatve 314 [Karte],51 950 € (1 298.75 €/m²),4/4,Teika,P. kara,,2,40 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/dofdx.html,Parkošanas vieta
Platā 8 [Karte],29 800 € (596 €/m²),1/3,Bolderāja,Staļina,,2,50 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/fpejc.html,Parkošanas vieta
Atlantijas 12 [Karte],28 000 € (933.33 €/m²),3/5,Vecmīlgrāvis,103.,,1,30 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/cxpfh.html,
Lēdurgas 24 [Karte],85 000 € (1 416.67 €/m²),9/9/lifts,Mangaļi,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/ibdjx.html,"Balkons, Parkošanas vieta"
Tomsona 24 [Karte],189 000 € (1 766.36 €/m²),2/5,centrs,Renov.,,4,107 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bdpbf.html,Lodžija
Lielupes 68 [Karte],43 200 € (881.63 €/m²),5/5,Bolderāja,LT proj.,01009107123,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/heonj.html,"Lodžija, Parkošanas vieta"
Kuģu 28 [Karte],510 000 € (3 984.38 €/m²),5/7/lifts,Āgenskalns,Jaun.,,4,128 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aomxx.html,"Terase, Parkošanas vieta"
Kuģu 28 [Karte],517 000 € (3 887.22 €/m²),3/7/lifts,Āgenskalns,Jaun.,,4,133 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/doppx.html,"Terase, Parkošanas vieta"
Barona 106 [Karte],90 000 € (1 636.36 €/m²),1/4,centrs,P. kara,,3,55 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ennli.html,Parkošanas vieta
Esplanādes 10 [Karte],42 000 € (840 €/m²),2/2,Daugavgrīva,Specpr.,,2,50 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/hcpmk.html,Parkošanas vieta
Stirnu 48 [Karte],36 000 € (837.21 €/m²),1/5,Purvciems,M. ģim.,,1,43 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cjibk.html,Lodžija
Vecmīlgrāvja 5 [Karte],36 500 € (829.55 €/m²),2/4,Vecmīlgrāvis,Hrušč.,,2,44 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/cjncc.html,
Viestura pr. 45 [Karte],31 000 € (939.39 €/m²),2/9,Sarkandaugava,Specpr.,,1,33 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/adlxb.html,
Purva 9 [Karte],229 000 € (1 467.95 €/m²),1/3,Dzegužkalns,Jaun.,,4,156 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/dxgbf.html,"Pirts, Parkošanas vieta"
Slāvu 23 [Karte],42 000 € (823.53 €/m²),2/9,Pļavnieki,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fplhg.html,
Maskavas 243 [Karte],47 000 € (959.18 €/m²),2/9,Krasta r-ns,467.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/aikbf.html,
Dammes 32 [Karte],42 000 € (857.14 €/m²),9/9,Imanta,602.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bcdijg.html,
Tadaiķu 9a [Karte],43 900 € (1 070.73 €/m²),3/4,Ziepniekkalns,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/djjbi.html,
Maskavas 285/1 [Karte],29 900 € (934.38 €/m²),5/5,Ķengarags,LT proj.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ejkeh.html,Balkons
Grēdu 3 [Karte],79 000 € (1 179.10 €/m²),3/6,Maskavas priekšpilsēta,Specpr.,01009088895,3,67 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/hxeeb.html,"Lodžija, Parkošanas vieta"
Avotu 54 [Karte],174 000 € (840.58 €/m²),1/5,centrs,P. kara,,5,207 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/beidoj.html,Parkošanas vieta
Zentenes 30 [Karte],48 700 € (885.45 €/m²),3/5,Imanta,LT proj.,,3,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/dphln.html,"Lodžija, Parkošanas vieta"
Maskavas 285/5 [Karte],33 000 € (767.44 €/m²),1/5,Ķengarags,LT proj.,,2,43 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ahogn.html,
Varkaļu 9 [Karte],34 500 € (734.04 €/m²),2/5,Imanta,Hrušč.,,2,47 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ehbcn.html,Parkošanas vieta
Daugavgrīvas 46 [Karte],113 500 € (600.53 €/m²),1/3,Āgenskalns,P. kara,,5,189 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/adggm.html,Parkošanas vieta
Viestura pr. 77 [Karte],67 500 € (1 250 €/m²),4/5,Mežaparks,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/lbbpe.html,"Lodžija, Parkošanas vieta"
Salaspils 6 [Karte],58 900 € (1 308.89 €/m²),3/5,Ķengarags,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/cxemj.html,Balkons
Lubānas 56 [Karte],45 000 € (737.70 €/m²),5/9/lifts,Dārzciems,467.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/apimn.html,Lodžija
Lubānas 56 [Karte],45 000 € (737.70 €/m²),5/9/lifts,Pļavnieki,467.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aegek.html,Lodžija
Ezermalas 4 [Karte],40 480 € (2 248.89 €/m²),4/5,Mežaparks,Renov.,,1,18 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/aeffn.html,
Ezermalas 4 [Karte],50 160 € (2 180.87 €/m²),5/5,Mežaparks,Renov.,,2,23 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/hpgoj.html,
Ezermalas 4 [Karte],54 120 € (2 255 €/m²),3/5,Mežaparks,Renov.,,2,24 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/dnhic.html,
Ezermalas 4 [Karte],58 080 € (2 233.85 €/m²),2/5,Mežaparks,Renov.,,2,26 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/bedef.html,
Ezermalas 4 [Karte],60 500 € (2 240.74 €/m²),2/5,Mežaparks,Renov.,,2,27 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/dlpmo.html,
Ruses 2 [Karte],64 800 € (1 178.18 €/m²),1/8/lifts,Zolitūde,119.,,2,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/agiho.html,"Lodžija, Parkošanas vieta"
Jūrmalas g. 100 [Karte],115 000 € (2 090.91 €/m²),9/5,Imanta,Jaun.,,2,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/begnem.html,Balkons
Eksporta 2a [Karte],237 000 € (2 370 €/m²),4/5/lifts,centrs,Specpr.,,4,100 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cpmck.html,"Balkons, Parkošanas vieta"
Eizenšteina 43 [Karte],52 500 € (1 009.62 €/m²),2/9/lifts,Mežciems,602.,,2,52 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/afeic.html,"Lodžija, Parkošanas vieta"
Raunas 35 [Karte],54 000 € (1 285.71 €/m²),4/5,Teika,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/enhgg.html,Balkons
Lubānas 56 [Karte],32 000 € (1 000 €/m²),3/9/lifts,Dārzciems,467.,01009158775,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/aihjx.html,
Ēbeļmuižas 16 [Karte],41 100 € (1 141.67 €/m²),5/9/lifts,Ziepniekkalns,602.,,1,36 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/gxmlb.html,Lodžija
Berģu 3 [Karte],83 000 € (1 537.04 €/m²),2/5,Berģi,Renov.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bergi/cimph.html,Lodžija
Martas 7 [Karte],255 000 € (3 269.23 €/m²),2/6/lifts,centrs,Jaun.,,3,78 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adboi.html,Parkošanas vieta
Silciema 7 [Karte],63 900 € (1 121.05 €/m²),2/5,Jugla,Hrušč.,,3,57 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/djedp.html,
Stūrmaņu 5 [Karte],38 000 € (791.67 €/m²),5/5,Bolderāja,LT proj.,,2,48 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/cceeb.html,Lodžija
Rītupes 3 [Karte],41 500 € (830 €/m²),2/2,Krasta r-ns,Renov.,,2,50 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/ekicn.html,Parkošanas vieta
Druvienas 21 [Karte],45 000 € (900 €/m²),1/5,Mežciems,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/djefn.html,
Maskavas 452 k-2 [Karte],51 000 € (1 133.33 €/m²),1/5,Ķengarags,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hfpol.html,Balkons
Visbijas pr. 6/8 [Karte],315 000 € (2 058.82 €/m²),1/3,Mežaparks,Renov.,,4,153 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cjdhn.html,
Ganību d. 40a [Karte],43 500 € (1 279.41 €/m²),3/3,centrs,P. kara,,1,34 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcilfe.html,Parkošanas vieta
M. Matīsa 3 [Karte],29 000 € (1 000 €/m²),4/5,centrs,P. kara,,1,29 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aaexb.html,Parkošanas vieta
Čaka 143 [Karte],103 500 € (1 669.35 €/m²),4/4,centrs,Renov.,,2,62 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ddnxe.html,
Salaspils 12/5 [Karte],83 000 € (1 338.71 €/m²),4/5,Ķengarags,LT proj.,,4,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bihkd.html,Balkons
Lokomotīves 46 [Karte],46 950 € (958.16 €/m²),1/5,Ķengarags,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/cjmdp.html,Lodžija
Buļļu 35a [Karte],36 999 € (685.17 €/m²),4/5,Iļģuciems,LT proj.,,3,54 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fdmdm.html,"Lodžija, Parkošanas vieta"
Ģertrūdes 98 [Karte],30 000 € (1 428.57 €/m²),1/5,centrs,P. kara,,1,21 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcjmxd.html,
Dzirnavu 37 [Karte],299 000 € (3 986.67 €/m²),5/7/lifts,centrs,Jaun.,,2,75 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/alnig.html,
Salaspils 21 [Karte],41 500 € (830 €/m²),6/9/lifts,Ķengarags,467.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/admbp.html,Lodžija
Salacas 21 [Karte],41 500 € (846.94 €/m²),6/9/lifts,Krasta r-ns,467.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/cebnj.html,Lodžija
Tvaika 48 [Karte],65 000 € (1 181.82 €/m²),3/5,Sarkandaugava,Hrušč.,,2,55 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/epdoi.html,"Balkons, Lodžija"
Sesku 63 [Karte],82 000 € (891.30 €/m²),7/9,Purvciems,119.,,4,92 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hxccp.html,
Maskavas 279 [Karte],36 000 € (1 200 €/m²),5/5,Ķengarags,LT proj.,,5,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ahokc.html,"Balkons, Lodžija, Parkošanas vieta"
Kvēles 23 [Karte],39 800 € (904.55 €/m²),1/5,Jugla,LT proj.,,2,44 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hglxk.html,Parkošanas vieta
Aglonas 2 [Karte],34 700 € (948.09 €/m²),1/12/lifts,Ķengarags,Čehu pr.,,1,36.60 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hcbio.html,"Lodžija, Parkošanas vieta"
Viestura pr. 77 [Karte],54 000 € (1 173.91 €/m²),4/5,Sarkandaugava,103.,,2,46 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/choom.html,
Pavasara g. 1 [Karte],60 000 € (967.74 €/m²),7/9/lifts,Pļavnieki,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/eiffj.html,
Fridriķa 7 [Karte],39 800 € (925.58 €/m²),3/5,Krasta r-ns,Specpr.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/oeobl.html,
Tallinas 75 [Karte],70 800 € (1 475 €/m²),1/2,centrs,Specpr.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxemn.html,
Dzirciema 89 [Karte],47 000 € (870.37 €/m²),1/5,Iļģuciems,LT proj.,,3,54 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fkfkl.html,Lodžija
Prūšu 38 [Karte],49 890 € (831.50 €/m²),4/5,Ķengarags,Specpr.,,3,60 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gmxof.html,"Balkons, Parkošanas vieta"
Celmu 8 [Karte],44 000 € (916.67 €/m²),3/5,Mežciems,LT proj.,,2,48 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/aigbf.html,
Hāpsalas 1/3 [Karte],68 000 € (894.74 €/m²),4/4,Sarkandaugava,Specpr.,,3,76 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ockcc.html,
Zebiekstes 5 [Karte],58 500 € (780 €/m²),1/12,Pļavnieki,104.,,3,75 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/bxxle.html,Lodžija
Slimnīcas 5 [Karte],34 800 € (644.44 €/m²),5/5,Daugavgrīva,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/aiheg.html,"Lodžija, Parkošanas vieta"
Salnas 3 [Karte],28 500 € (890.63 €/m²),1/9/lifts,Pļavnieki,602.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dxken.html,Lodžija
Salnas 20 [Karte],29 800 € (851.43 €/m²),5/9/lifts,Pļavnieki,602.,,1,35 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dnjgi.html,Lodžija
Ilūkstes 54 [Karte],33 500 € (858.97 €/m²),5/5,Purvciems,M. ģim.,,1,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bgekb.html,"Lodžija, Parkošanas vieta"
Velkoņu 2 [Karte],35 900 € (780.43 €/m²),4/5,Bolderāja,103.,,2,46 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/dhbig.html,Parkošanas vieta
Hāpsalas 1-3k [Karte],68 000 € (894.74 €/m²),4/4,Sarkandaugava,Specpr.,,3,76 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ghjek.html,Parkošanas vieta
Juglas 3/1 [Karte],46 500 € (948.98 €/m²),1/9/lifts,Jugla,Specpr.,,2,49 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/aflbj.html,"Lodžija, Parkošanas vieta"
Dammes 4 [Karte],51 800 € (1 036 €/m²),2/9/lifts,Imanta,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/flnhn.html,"Lodžija, Parkošanas vieta"
Tallinas 61 [Karte],155 000 € (2 348.48 €/m²),2/4,centrs,P. kara,,3,66 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aekfk.html,Parkošanas vieta
Ķeguma 43 [Karte],40 200 € (1 017.72 €/m²),3/5,Purvciems,M. ģim.,01009163516,1,39.50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aplee.html,"Lodžija, Parkošanas vieta"
Vienības g. 186a [Karte],219 000 € (1 684.62 €/m²),5/5/lifts,Ziepniekkalns,Jaun.,,4,130 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dfmpi.html,"Lodžija, Terase, Parkošanas vieta"
Eizenšteina 47a [Karte],187 900 € (2 159.77 €/m²),2/10/lifts,Mežciems,Jaun.,,4,87 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ncbxi.html,Balkons
Brīvības iela 320 [Karte],43 800 € (1 018.60 €/m²),1/5,Teika,Hrušč.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/aggeb.html,Parkošanas vieta
Mārkalnes 1 [Karte],7 200 € (400 €/m²),5/5,Jugla,Hrušč.,,1,18 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ajebj.html,
Prūšu 17a [Karte],15 500 € (1 192.31 €/m²),4/5,Ķengarags,Hrušč.,,1,13 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/nmkmo.html,
Spilves 33 [Karte],45 000 € (671.64 €/m²),1/5,Iļģuciems,LT proj.,,3,67 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dlffc.html,"Lodžija, Parkošanas vieta"
Kurzemes pr. 116 [Karte],43 000 € (796.30 €/m²),5/5,Imanta,LT proj.,,3,54 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/afofh.html,"Balkons, Parkošanas vieta"
Viestura pr. 9 [Karte],35 000 € (744.68 €/m²),1/3,Sarkandaugava,Hrušč.,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/afmoj.html,
Brīvības 95 [Karte],99 500 € (1 809.09 €/m²),6/7,centrs,Renov.,,2,55 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/efmkm.html,Parkošanas vieta
Matīsa 82a [Karte],16 500 € (750 €/m²),2/2,centrs,P. kara,,1,22 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cokgc.html,Parkošanas vieta
Tomsona 39 [Karte],300 000 € (1 382.49 €/m²),6/10/lifts,centrs,Jaun.,,4,217 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ghihe.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Rigondas g. 7 [Karte],45 000 € (1 250 €/m²),12/12,Imanta,Specpr.,,1,36 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aimbl.html,
Stabu 81 [Karte],118 800 € (1 697.14 €/m²),4/5,centrs,P. kara,,3,70 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gjjbc.html,
Brīvības gatve 234 [Karte],135 000 € (1 362.26 €/m²),2/5/lifts,Teika,Staļina,,3,99.10 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/bnhlg.html,
Kalnciema 98 [Karte],139 900 € (1 748.75 €/m²),4/4/lifts,Šampēteris-Pleskodāle,Jaun.,,3,80 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/bbhnn.html,"Balkons, Terase, Parkošanas vieta"
Uzvaras bulv. 4 [Karte],100 000 € (1 176.47 €/m²),2/2,Āgenskalns,P. kara,,2,85 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/afghe.html,Parkošanas vieta
Stabu 49a [Karte],98 400 € (1 230 €/m²),1/6,centrs,Renov.,,3,80 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adxnk.html,
Kleistu 21 [Karte],69 500 € (1 362.75 €/m²),2/9/lifts,Imanta,602.,,2,51 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/adeng.html,Balkons
Lēpju 17 [Karte],36 900 € (997.30 €/m²),2/5,Daugavgrīva,Specpr.,,1,37 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/bchne.html,Lodžija
Vecmīlgrāvja 6 [Karte],32 000 € (615.38 €/m²),2/5,Vecmīlgrāvis,Specpr.,,2,52 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bxmbfe.html,"Balkons, Parkošanas vieta"
Raunas 46 [Karte],38 500 € (1 040.54 €/m²),6/9,Teika,Specpr.,,1,37 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/kgjdi.html,Lodžija
Ikšķiles 16 [Karte],49 000 € (803.28 €/m²),4/5,Ķengarags,LT proj.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/epnde.html,"Balkons, Parkošanas vieta"
Ausekļa 6a [Karte],195 000 € (2 500 €/m²),3/5,centrs,Renov.,,3,78 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gfogx.html,
Maskavas 31 [Karte],112 050 € (2 305.56 €/m²),2/6,centrs,Jaun.,,2,48.60 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ddhcl.html,Balkons
Maskavas 31 [Karte],132 905 € (2 215.08 €/m²),2/5,centrs,Jaun.,,3,60 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aepxx.html,Balkons
Skuju 1 [Karte],48 500 € (866.07 €/m²),5/5,Vecmīlgrāvis,103.,,2,56 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/dmnjd.html,"Lodžija, Parkošanas vieta"
Stirnu 22 [Karte],37 000 € (948.72 €/m²),2/6,Purvciems,Specpr.,,2,39 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/chlbx.html,Parkošanas vieta
