Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Brīvības 150 [Karte],135 500 € (1 243.12 €/m²),5/6,centrs,P. kara,,4,109 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/djcfg.html,
Valdemāra 73 [Karte],265 000 € (2 572.82 €/m²),6/6,centrs,P. kara,,5,103 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcbchk.html,Pirts
J. Vācieša 2c [Karte],87 000 € (1 279.41 €/m²),14/16/lifts,Pļavnieki,Specpr.,,3,68 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/afeol.html,"Lodžija, Parkošanas vieta"
Lāpstu 15 [Karte],27 200 € (800 €/m²),4/5,Sarkandaugava,103.,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/acemi.html,
Brīvības 93 [Karte],196 000 € (1 765.77 €/m²),2/6,centrs,P. kara,,5,111.00 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gbnxc.html,Parkošanas vieta
Augšzemes 5 [Karte],115 000 € (1 385.54 €/m²),1/4,Zolitūde,Jaun.,,2,83 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/bfobx.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Bajāru 16 [Karte],140 000 € (2 745.10 €/m²),4/4/lifts,Teika,Jaun.,,2,51 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/cjbie.html,Balkons
Čiekurkalna 5. šķ l. 15 [Karte],88 000 € (1 284.67 €/m²),4/5,Čiekurkalns,103.,,3,68.50 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/gjljx.html,"Lodžija, Parkošanas vieta"
Dudajeva g. 11 [Karte],59 000 € (1 180 €/m²),4/5,Purvciems,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ibcbp.html,"Lodžija, Parkošanas vieta"
Slokas 142 [Karte],49 000 € (1 000 €/m²),2/5,Imanta,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hxjni.html,Lodžija
Mārtiņa 8 [Karte],129 000 € (2 114.75 €/m²),5/5,Āgenskalns,P. kara,,2,61 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ixkgd.html,
J. Vācieša 8 [Karte],52 000 € (825.40 €/m²),2/9/lifts,Pļavnieki,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/apjxe.html,Lodžija
Maskavas 267a [Karte],48 000 € (800 €/m²),1/5,Ķengarags,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbdcdc.html,
Lāčplēša 11 [Karte],1 950 000 € (6 989.25 €/m²),7/7/lifts,centrs,Jaun.,,4,279 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/anhbh.html,"Terase, Parkošanas vieta"
Krāslavas 14 [Karte],144 000 € (2 880 €/m²),6/6/lifts,Maskavas priekšpilsēta,Jaun.,,3,50 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/akkdg.html,"Terase, Parkošanas vieta"
Deglava 7 [Karte],116 000 € (1 450 €/m²),4/7,centrs,Jaun.,,2,80 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bckmcj.html,Parkošanas vieta
Miera 90 [Karte],138 900 € (1 799.22 €/m²),4/7/lifts,centrs,Specpr.,,3,77.20 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/eimmb.html,"Lodžija, Parkošanas vieta"
Dammes 28 [Karte],65 000 € (1 300 €/m²),4/5,Imanta,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/allmd.html,Lodžija
